deviceId;fecha_hora;pozo;caudal;presion;actividad;numero_prueba
ColpetroleumRsu8;2025-12-06 21:23:22;MN-48;0;495,8;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:26;MN-48;0;494,55;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:30;MN-48;0;493,92;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:34;MN-48;0;492,04;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:38;MN-48;0;491,41;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:42;MN-48;0;489,85;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:46;MN-48;0;489,22;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:50;MN-48;0;487,03;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:54;MN-48;0;486,4;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:58;MN-48;0;485,14;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:02;MN-48;0;484,52;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:06;MN-48;0;483,26;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:10;MN-48;0;481,38;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:14;MN-48;0;480,76;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:18;MN-48;0;479,5;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:22;MN-48;0;478,88;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:26;MN-48;0;477,62;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:30;MN-48;0;476,37;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:34;MN-48;0;475,12;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:38;MN-48;0;474,49;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:42;MN-48;0;473,86;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:46;MN-48;0;472,61;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:50;MN-48;0;471,67;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:54;MN-48;0;470,41;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:24:58;MN-48;0;469,79;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:02;MN-48;0;469,16;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:06;MN-48;0;467,59;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:10;MN-48;0;466,97;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:14;MN-48;0;465,71;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:18;MN-48;0;464,46;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:22;MN-48;0;463,21;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:26;MN-48;0;462,58;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:30;MN-48;0;461,33;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:34;MN-48;0;460,7;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:38;MN-48;0;459,76;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:42;MN-48;0;458,82;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:46;MN-48;0;457,57;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:50;MN-48;0;456,94;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:54;MN-48;0;458,19;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:25:58;MN-48;0;442,21;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:02;MN-48;0;430,3;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:06;MN-48;0;21,31;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:10;MN-48;0;3,45;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:14;MN-48;0;5,33;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:18;MN-48;0;5,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:22;MN-48;0;5,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:26;MN-48;0;5,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:30;MN-48;0;5,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:34;MN-48;0;5,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:38;MN-48;0;5,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:42;MN-48;0;5,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:46;MN-48;0;5,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:50;MN-48;0;5,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:54;MN-48;0;5,33;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:26:58;MN-48;0;5,33;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:27:02;MN-48;0;90,89;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:27:06;MN-48;0;66,44;FUERA DE VIAJE;1
